country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Botswana,41.4M,63.6M,58.8M,59M,95M,102M,158M,166M,164M,126M,108M,129M,182M,182M,175M,208M,189M,172M,222M,277M,263M,251M,270M,284M,291M,272M,239M,318M,270M,292M,241M,216M,174M,209M,133M,127M,96.2M,181M,147M,86.6M,47.5M,45.5M,57.7M,39.4M,62M,61.6M,81.4M,121M,794M,340M,173M,134M,81.8M,119M,107M,74.5M,101M,113M,91.9M,72.4M,82.5M,96.4M,88.5M
Central African Republic,320k,4.39M,11.4M,20.2M,150M,130M,123M,155M,129M,141M,103M,102M,150M,130M,174M,210M,149M,157M,152M,215M,251M,260M,240M,259M,382M,299M,293M,336M,360M,339M,391M,264M,248M,248M,238M,190M,211M,125M,173M,170M,109M,121M,89.3M,68.8M,136M,109M,158M,191M,256M,224M,277M,259M,234M,206M,617M,558M,580M,574M,688M,741M,884M,659M,701M
Chile,139M,883M,1.01B,952M,782M,732M,853M,641M,474M,439M,344M,170M,217M,196M,70.4M,452M,43.4M,39.6M,17.6M,−88.6M,−23.5M,3.97M,5.99M,32.2M,44.5M,141M,12.1M,46.1M,84.2M,120M,162M,184M,185M,261M,208M,162M,238M,173M,147M,95.6M,74.7M,87.5M,17.4M,109M,77.4M,205M,116M,113M,100M,77.5M,189M,161M,126M,79.8M,249M,61.8M,210M,79.2M,,,,,
China,,,,,,,,,,,,,,,,,,,,44.6M,159M,1.22B,1.29B,1.65B,1.99B,2.39B,2.1B,2.32B,3.03B,3.25B,2.98B,2.73B,3.9B,4.09B,3.73B,3.77B,3.17B,2.76B,3.19B,2.94B,2.29B,2.08B,2B,1.61B,1.85B,1.93B,1.42B,1.81B,1.76B,1.51B,762M,−523M,60.6M,−610M,−947M,−300M,−739M,−1.01B,−697M,−568M,−520M,−564M,−381M
Cote d'Ivoire,1.17M,32.9M,87M,81M,317M,313M,281M,259M,331M,346M,375M,340M,279M,311M,353M,380M,421M,369M,386M,411M,480M,324M,382M,442M,373M,344M,387M,449M,781M,729M,1.05B,967M,1.09B,1.11B,2.3B,1.55B,1.27B,642M,1.45B,654M,568M,334M,1.73B,351M,199M,112M,287M,209M,407M,2.27B,888M,1.42B,3B,1.32B,949M,741M,699M,923M,1.03B,1.28B,1.65B,1.58B,2.09B
Cameroon,4.33M,77.1M,91.7M,77.1M,232M,264M,382M,293M,372M,273M,422M,322M,372M,305M,282M,426M,521M,655M,544M,734M,636M,515M,580M,355M,543M,446M,502M,388M,509M,867M,716M,820M,1.03B,809M,1.06B,579M,546M,735M,753M,646M,617M,786M,992M,1.2B,969M,509M,2.02B,2.01B,525M,628M,563M,605M,622M,760M,858M,759M,864M,1.36B,1.24B,1.42B,1.48B,1.14B,1.23B
"Congo, Dem. Rep.",863M,891M,1.02B,993M,1.09B,1.19B,741M,727M,592M,640M,656M,731M,732M,708M,812M,998M,734M,895M,924M,1.08B,1.02B,1.04B,966M,916M,921M,899M,989M,1.31B,1.02B,1.31B,1.41B,744M,403M,272M,353M,252M,226M,239M,195M,209M,303M,424M,1.85B,7.51B,2.35B,2.21B,2.68B,1.22B,1.52B,2.11B,3.71B,5.65B,2.98B,2.65B,2.46B,2.94B,2.4B,2.57B,2.71B,3.07B,3.6B,3.61B,3.33B
"Congo, Rep.",230k,1.9M,32.3M,53.7M,153M,128M,190M,145M,159M,122M,110M,116M,136M,132M,176M,212M,278M,168M,243M,235M,211M,205M,244M,295M,289M,210M,233M,253M,155M,166M,331M,202M,164M,182M,522M,165M,591M,392M,95.8M,221M,54.4M,120M,92M,93.5M,141M,1.68B,297M,108M,443M,272M,1.35B,259M,146M,152M,106M,102M,98.9M,119M,156M,193M,228M,204M,739M
Colombia,−51.3M,370M,352M,495M,298M,270M,548M,616M,728M,624M,773M,575M,550M,621M,388M,285M,260M,140M,174M,103M,96.6M,142M,179M,126M,146M,163M,120M,153M,142M,133M,153M,200M,355M,168M,123M,235M,255M,277M,269M,487M,326M,630M,702M,1.17B,731M,847M,1.28B,872M,1.14B,1.23B,740M,1.1B,830M,897M,1.26B,1.55B,1.27B,953M,1.9B,951M,2B,1.92B,1.94B
Comoros,,,,,,,46.3M,71.6M,58.3M,44.2M,55.9M,58.5M,57.8M,82.4M,122M,79M,95.2M,45.4M,43.3M,52.6M,104M,120M,103M,102M,121M,134M,102M,101M,90.6M,78.9M,68.7M,97.8M,68.4M,70.2M,55.7M,51.7M,51.8M,43.9M,58.3M,32.8M,32.5M,46.1M,43.4M,33.1M,31.3M,27.4M,36.4M,44.4M,40.4M,50.1M,73M,53.2M,101M,80.9M,74.6M,74.8M,61.4M,74.7M,96.8M,80.1M,140M,154M,147M
Cape Verde,,34.5M,,,,,26.9M,7.64M,,60k,,,,,,34.2M,92.6M,89.4M,108M,83.6M,149M,129M,138M,157M,183M,188M,242M,164M,147M,163M,178M,167M,171M,180M,185M,158M,164M,174M,205M,213M,161M,137M,151M,201M,183M,204M,166M,156M,207M,204M,345M,244M,259M,249M,234M,178M,132M,138M,90M,167M,168M,145M,86.6M
Costa Rica,30.4M,50.3M,64.5M,57.1M,80.1M,102M,83.9M,84.4M,73.7M,81.7M,70.3M,79.8M,83.2M,79M,73.6M,86.5M,54.1M,60M,93.4M,78.9M,59.7M,81.5M,163M,532M,472M,596M,397M,461M,352M,426M,367M,279M,211M,179M,122M,63.8M,−330k,11.5M,47.5M,10.8M,53.9M,35.7M,28.9M,53.1M,34.5M,38.2M,35.6M,68.1M,76.5M,105M,92.1M,36.7M,32.8M,33.5M,55.6M,127M,112M,108M,105M,59M,220M,79.3M,666M
