country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Papua New Guinea,90k,80k,,80k,,851M,854M,950M,1.03B,1.05B,1.25B,1.12B,1.34B,1B,1.13B,1.27B,931M,998M,1.03B,924M,926M,857M,838M,918M,866M,811M,778M,798M,769M,654M,706M,645M,765M,586M,576M,617M,596M,586M,720M,413M,556M,472M,464M,423M,423M,396M,393M,408M,379M,481M,523M,543M,608M,621M,572M,688M,612M,586M,859M,729M,1.14B,1.19B,682M
North Korea,,,,,,,,,,,,,,,,,,,154M,,,,,,,14.8M,12M,30.3M,16M,14.9M,12.4M,13.4M,15.3M,20.8M,8.11M,17.5M,36.3M,141M,166M,316M,130M,211M,415M,186M,212M,110M,66.9M,115M,244M,72.9M,84.6M,112M,94.4M,99.7M,139M,146M,135M,138M,124M,138M,132M,20.1M,13.3M
Paraguay,90.4M,75.7M,21M,59.2M,58.5M,63.4M,62.3M,82.4M,64.6M,83.9M,87M,93.2M,84.8M,72.4M,101M,66.2M,83.8M,105M,82M,64M,71.5M,105M,183M,110M,104M,84.2M,94.9M,89M,87.6M,125M,83.2M,180M,82.6M,113M,88.5M,118M,78.8M,107M,84.8M,96.5M,96M,94.9M,91.8M,83.7M,46.7M,71.9M,79.4M,134M,145M,165M,124M,90.9M,118M,136M,65.7M,67.9M,102M,160M,174M,136M,321M,175M,101M
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280M,721M,703M,786M,921M,936M,861M,1.07B,1.63B,1.54B,1.44B,1.49B,1.25B,1.6B,1.85B,2.56B,2.83B,2.73B,2.5B,2.05B,2.72B,2.53B,2.13B,2.73B,2.4B,2.46B,2.52B,2.18B,2.16B,2.34B
French Polynesia,,,,,,,102M,112M,130M,129M,139M,130M,156M,234M,170M,252M,274M,277M,254M,344M,339M,359M,458M,497M,515M,503M,530M,534M,578M,522M,390M,473M,457M,490M,526M,573M,519M,534M,539M,532M,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,−160k,,,70k,70k,,270k,410k,630k,1.13M,1.49M,2.29M,3.04M,4.78M,2.9M,370k,420k,1.24M,2.08M,2.21M,2.8M,3.71M,4.97M,4.56M,4.7M,2.92M,7.41M,4.43M,4.17M,3.94M,5.4M,4.12M,4.35M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,81.2M,76.8M,110M,69.4M,70.3M,73.4M,103M,113M,132M,140M,164M,177M,186M,206M,215M,357M,301M,332M,377M,391M,379M,419M,430M,421M,479M,520M,469M,466M,455M,419M,470M,578M,518M,545M,1.11B,966M,664M,363M,535M,564M,522M,505M,565M,465M,612M,691M,707M,668M,828M,888M,1.12B,1.3B,927M,1.12B,1.06B,1.22B,1.31B,1.38B,1.2B,1.27B,1.72B,1.33B,1.12B
Saudi Arabia,57.3M,−2.86M,−71.8M,−17.9M,−3.17M,2.77M,2.49M,3.32M,3.38M,9.31M,9.93M,12.3M,12.9M,13.7M,16.1M,12.1M,6.89M,23.5M,17.8M,26.5M,29.8M,64.8M,117M,99.1M,84.8M,69.7M,56.9M,38.4M,29M,22.2M,20.4M,18.6M,54.2M,34M,18.9M,17.3M,14.2M,4.24M,20.5M,25.3M,24.8M,17.2M,21.9M,17M,21.1M,24.2M,23M,−145M,,,,,,,,,,,,,,,
Sudan,240M,85.3M,50.4M,111M,163M,216M,279M,112M,248M,66.3M,58.4M,62.9M,367M,191M,942M,1.17B,1.03B,1.09B,1.16B,1.9B,1.69B,1.67B,2B,2.57B,1.68B,3B,2.11B,1.7B,1.68B,1.37B,1.39B,1.36B,788M,690M,604M,317M,302M,216M,334M,387M,368M,328M,478M,865M,1.29B,2.31B,2.47B,2.37B,2.77B,2.64B,2.22B,1.83B,1.42B,1.62B,904M,1.08B,916M,965M,1.04B,1.68B,2.5B,3.82B,1.57B
Senegal,1.14M,2.22M,117M,96.3M,464M,387M,347M,364M,368M,374M,299M,353M,276M,409M,633M,534M,450M,421M,661M,845M,628M,1.04B,778M,877M,1.01B,802M,1.31B,1.28B,1.07B,1.26B,1.27B,965M,940M,742M,894M,823M,765M,625M,742M,796M,689M,697M,694M,622M,1.3B,843M,1.01B,782M,946M,921M,987M,1.05B,1.11B,1.03B,1.14B,992M,835M,1.01B,1.07B,1.57B,1.71B,1.39B,1.52B
Singapore,−3.29M,−750k,10.2M,5.57M,4.79M,21.4M,20.3M,66.4M,40.1M,143M,240M,233M,201M,156M,91.3M,45.5M,40.3M,37.8M,16M,13M,33.1M,52.6M,53.7M,38.2M,95.8M,65.5M,59M,40.7M,34.4M,174M,3.15M,7.25M,24.3M,25.9M,16.6M,15.1M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,22.2M,23.2M,25.7M,32.5M,31M,41.7M,49.4M,54.5M,67.4M,72.9M,73M,56.7M,91.8M,79.4M,73.6M,113M,104M,80.3M,103M,75.3M,106M,71.2M,71M,73.7M,54.6M,57.3M,73.8M,112M,92.7M,80M,70.3M,58.1M,71M,75.5M,68.1M,62.6M,55.3M,56.8M,47.9M,64.4M,131M,127M,60.7M,132M,193M,279M,278M,294M,266M,259M,340M,288M,273M,272M,196M,221M,201M,205M,212M,251M,235M,265M,264M
Sierra Leone,80.1M,169M,77.2M,94.9M,90.7M,127M,77.7M,54.9M,72.2M,59.4M,44.6M,66.1M,59.1M,70.7M,45.2M,65.7M,51.7M,96.2M,124M,146M,221M,160M,226M,183M,162M,179M,206M,130M,186M,179M,93.4M,160M,194M,327M,393M,282M,254M,178M,161M,115M,285M,555M,596M,460M,462M,405M,432M,536M,331M,428M,489M,424M,453M,455M,907M,1.04B,790M,613M,548M,620M,894M,710M,546M
El Salvador,10.1M,60.2M,46.3M,82.2M,88M,99.7M,139M,94.6M,68.5M,77.3M,81.8M,60.8M,85.9M,60.5M,42.8M,68.7M,65.6M,88.2M,95.8M,100M,224M,305M,458M,590M,546M,744M,716M,870M,786M,735M,590M,468M,601M,562M,426M,379M,360M,377M,273M,281M,275M,399M,386M,290M,314M,266M,206M,135M,246M,311M,335M,330M,254M,177M,104M,103M,149M,169M,271M,326M,357M,213M,730M
Somalia,255M,268M,234M,295M,186M,243M,383M,105M,257M,243M,197M,209M,183M,277M,380M,667M,412M,851M,823M,761M,1.23B,1.03B,1.3B,938M,1.01B,970M,1.14B,1.13B,784M,764M,823M,282M,1.06B,1.48B,878M,273M,123M,127M,129M,185M,179M,258M,249M,252M,257M,296M,468M,424M,814M,717M,533M,1.04B,989M,1.03B,1.09B,1.29B,1.33B,1.98B,1.7B,1.89B,3.24B,2.41B,1.97B
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5M,128M,89.6M,145M,171M,1.21B,1.99B,2.28B,3.24B,1.81B,1.48B,1.29B,1.86B,857M,935M,620M,701M,1.35B,1.13B,770M,361M,361M,729M,1.89B,1.14B,617M,515M,533M,558M
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430M,1.24B,1.45B,2.06B,1.88B,1.82B,2.45B,1.71B,1.84B,1.95B,2.12B,2.06B
Sao Tome and Principe,940k,12.8M,,,,,11.9M,4.09M,1.46M,,,,,,,3.32M,44.8M,10.8M,12.2M,7.78M,9.53M,15.7M,26.5M,34M,33.6M,35.2M,25.1M,32.6M,43.4M,90.2M,93.7M,82.4M,85.1M,70M,73.3M,120M,65.7M,51.7M,43.4M,44.3M,59.7M,67M,43M,51.5M,41.4M,39.2M,26.9M,50.9M,37.6M,29.5M,51.3M,72.2M,52M,54.2M,41.6M,56.9M,53.8M,44.9M,55.5M,55.5M,97.5M,72.2M,56.8M
Suriname,134M,148M,123M,177M,140M,176M,32.4M,34M,170M,161M,218M,211M,232M,160M,225M,210M,395M,300M,183M,233M,192M,267M,284M,12.7M,17.1M,28.1M,31.1M,37M,41.6M,104M,105M,71.4M,126M,128M,95.2M,106M,155M,119M,88.2M,54.9M,53.6M,41.6M,20.4M,15.2M,30M,51.7M,73.1M,155M,96.8M,155M,105M,74.9M,41.7M,30.6M,13.3M,18.7M,19.2M,22.6M,15.1M,25.4M,29M,28.8M,59.1M
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4M,48.3M,70.4M,110M,147M,59.8M,51.3M,109M,226M,88.2M,,,,,,,,,,,,,,,,,,,,
Eswatini,103M,133M,70.6M,68.8M,136M,154M,101M,89.3M,79.9M,93.8M,47.4M,10.7M,53.5M,61.4M,75.8M,58.7M,54.3M,118M,145M,139M,124M,90M,69.6M,86.6M,81M,62.7M,75.6M,89.2M,73.3M,58.1M,90.9M,85.8M,85.5M,85.8M,82.7M,78.1M,42.4M,38.1M,50.1M,41.3M,18.3M,47.5M,33.3M,44.8M,25.6M,52.6M,39.4M,54.8M,73.3M,61.5M,99.4M,130M,99.3M,125M,92.5M,106M,168M,164M,130M,75.2M,111M,125M,94.2M
Seychelles,13.2M,11.6M,5.47M,7.07M,10.1M,15.5M,8.81M,21.1M,25.6M,12.5M,35.8M,62.6M,64.2M,55M,52.8M,38.7M,40.2M,51.3M,58.5M,70.9M,51.3M,43.1M,48.5M,42.3M,42.4M,67.2M,66.1M,47.4M,36.7M,37M,58.8M,34.8M,29.7M,30.8M,19.7M,14.9M,26.2M,25.3M,36.3M,19.3M,37.3M,19.8M,89.1M,12.4M,12.3M,20.5M,15.8M,6.71M,7.23M,21.7M,54M,22M,35.5M,27.4M,12M,7.59M,6.49M,17.7M,,,,,
Syria,138M,121M,184M,24.3M,36.8M,31.4M,149M,42.6M,36.6M,74.8M,152M,139M,314M,2.12B,3.47B,3.28B,3.04B,3.66B,2.84B,5.63B,4.78B,4.68B,3.04B,2.34B,1.73B,1.63B,1.59B,1.47B,272M,205M,1.41B,776M,281M,340M,863M,390M,273M,257M,210M,266M,210M,277M,91M,163M,136M,93.3M,24.9M,87.3M,162M,133M,147M,278M,1.29B,3.08B,3.4B,4.47B,7.88B,9.45B,9.71B,10.1B,10.4B,9.69B,8.2B
Turks and Caicos Islands,,,,,,,,,,,,,,,14.9M,16.9M,20.8M,17.3M,11.3M,7.4M,8.3M,17.8M,27.5M,19.5M,20.8M,16.7M,22.4M,20.6M,14.8M,16.5M,18.7M,26.5M,21.6M,17.9M,25.1M,8.32M,6.03M,5.81M,8.27M,10.4M,9.74M,10.1M,5.96M,2.88M,3.73M,6.13M,−500k,16.1M,,,,,,,,,,,,,,,
Chad,320k,36.2M,58.3M,56.7M,138M,148M,148M,150M,155M,173M,162M,202M,179M,232M,367M,263M,230M,296M,379M,234M,88.3M,157M,176M,251M,329M,517M,364M,390M,480M,465M,492M,413M,349M,340M,310M,306M,396M,337M,260M,281M,216M,320M,365M,343M,418M,479M,347M,377M,487M,606M,537M,470M,501M,477M,398M,693M,713M,725M,937M,702M,1.1B,730M,726M
Togo,1M,23M,38.1M,55.5M,116M,103M,88.5M,101M,139M,122M,123M,124M,127M,130M,179M,164M,172M,226M,309M,297M,219M,165M,207M,308M,318M,311M,370M,231M,362M,354M,406M,306M,325M,142M,180M,249M,195M,170M,185M,102M,110M,76.6M,82.2M,68.8M,81.3M,99.6M,93M,131M,276M,520M,416M,535M,248M,228M,212M,230M,193M,386M,359M,441M,596M,351M,450M
Thailand,316M,212M,283M,268M,235M,382M,328M,410M,427M,447M,496M,379M,303M,296M,320M,333M,634M,444M,715M,981M,993M,959M,970M,1.01B,1.11B,1.1B,853M,725M,739M,960M,1.13B,958M,923M,701M,632M,766M,829M,705M,817M,1.04B,688M,351M,362M,−906M,87.8M,−120M,−187M,−309M,−554M,8.16M,21.8M,−92.9M,−65M,52.3M,361M,68M,241M,271M,−417M,−334M,210M,132M,628M
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2M,43.5M,104M,92.9M,147M,131M,241M,170M,176M,263M,225M,187M,293M,280M,247M,175M,220M,266M,408M,277M,399M,394M,358M,487M,405M,361M,430M,391M,756M,556M,612M
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5M,48.5M,42.1M,45.2M,35M,30.4M,36.8M,37.2M,53.1M,109M,61.8M,36.8M,60.5M,29.8M,40.9M,22.1M,12.6M,40M,39.9M,37.8M,35.3M,31.1M,31.5M,24.9M,35.2M,30.8M,21.7M,27.4M,36.3M,28.7M,15.2M
Timor-Leste,,20.8M,,,,,,3.43M,,,,,,,40k,980k,1.78M,,40k,1.15M,960k,680k,610k,1.16M,,,660k,,40k,,170k,1.36M,220k,700k,340k,30k,130k,730k,2.69M,295M,437M,374M,386M,258M,216M,230M,258M,311M,285M,234M,298M,261M,273M,251M,251M,244M,252M,255M,222M,249M,271M,255M,233M
Tonga,90k,170k,560k,390k,460k,4.34M,5.16M,10.5M,13.4M,5.56M,11.9M,5.57M,8.5M,8.33M,15M,16.8M,21.2M,28.8M,30.8M,65.9M,42.8M,46.5M,49.2M,50.5M,43.2M,41.5M,35.3M,44.2M,33.7M,42.7M,45.9M,30.5M,38.7M,44.9M,45.5M,42.8M,40.8M,39.6M,36M,33.2M,28.5M,34.9M,34M,34M,28.8M,40.9M,30.3M,34.2M,29.1M,40.6M,65.6M,80.9M,72.7M,79.1M,79.8M,78.7M,93.1M,94.9M,105M,118M,174M,113M,307M
Trinidad and Tobago,,930k,5.92M,89.7M,95.6M,105M,65.7M,39M,30.6M,58M,40.2M,27.9M,18.6M,11M,16.1M,18.5M,16.4M,7.38M,10.3M,9.49M,9.25M,−7.1M,12.9M,16.4M,14.6M,22.5M,45.4M,66.8M,11.6M,8.8M,27.7M,−3.26M,9.34M,2.28M,30M,32.7M,20.6M,50.1M,21.9M,41.2M,−5.04M,−12.6M,−17.3M,−4.9M,−1.87M,−3.02M,14.2M,21.5M,9.13M,7.21M,4.76M,,,,,,,,,,,,
Tunisia,372M,699M,521M,683M,510M,650M,586M,659M,461M,753M,731M,652M,621M,654M,779M,817M,829M,841M,933M,534M,563M,639M,563M,571M,505M,471M,493M,540M,562M,500M,607M,534M,548M,374M,160M,100M,172M,289M,215M,379M,334M,595M,327M,378M,384M,419M,496M,336M,365M,485M,553M,888M,1.06B,704M,843M,596M,764M,925M,858M,1.06B,1.03B,1.09B,1.29B
Turkey,1.01B,1.38B,1.6B,1.61B,1.15B,1.37B,1.49B,1.45B,1.28B,1.15B,1.14B,1.23B,1.24B,406M,201M,219M,553M,349M,492M,1.58B,2.4B,1.94B,1.67B,921M,618M,498M,736M,614M,413M,232M,1.93B,2.38B,476M,689M,259M,418M,301M,11.2M,51M,51.5M,467M,306M,437M,227M,353M,488M,643M,823M,1.06B,1.31B,966M,3.21B,3.24B,2.86B,3.43B,2.51B,4.2B,3.57B,1.28B,782M,592M,1.06B,892M
Tuvalu,,,,,,,,,,,,,,,,200k,16.3M,11.9M,11.1M,13.5M,13.1M,13.8M,16.9M,12.4M,17.1M,10.7M,12.2M,62.1M,27M,11.6M,9.16M,9.29M,12.8M,8.27M,11.1M,12.1M,13.9M,12.5M,9.95M,7.57M,8.25M,13.2M,16.8M,9.27M,11.3M,11.9M,16.9M,12.5M,17.4M,16.5M,13.6M,32M,22.9M,26.4M,34M,56.8M,27.8M,31.5M,29.5M,40.3M,46.7M,36M,66.2M
Tanzania,123M,433M,489M,315M,416M,330M,272M,308M,305M,261M,360M,403M,349M,479M,703M,1.14B,984M,1.17B,1.29B,1.57B,1.66B,1.84B,1.85B,1.66B,1.63B,1.42B,1.55B,1.77B,1.8B,1.66B,1.86B,1.66B,1.97B,1.47B,1.42B,1.14B,1.17B,1.4B,1.49B,1.5B,1.59B,1.96B,2B,2.32B,2.18B,1.79B,2.2B,2.46B,1.96B,2.48B,3.19B,2.5B,2.94B,3.55B,2.73B,2.91B,2.62B,2.89B,2.64B,2.33B,2.42B,2.62B,2.73B
Uganda,247M,246M,308M,209M,223M,183M,195M,185M,183M,212M,249M,216M,251M,112M,75.8M,205M,82.4M,63.3M,124M,134M,290M,360M,356M,378M,463M,504M,440M,584M,715M,941M,1.07B,1.03B,1.07B,942M,1.11B,1.12B,931M,1.21B,994M,911M,1.36B,1.36B,1.15B,1.37B,1.53B,1.47B,1.86B,1.49B,1.53B,1.52B,1.84B,1.63B,1.73B,1.78B,1.7B,1.85B,2B,2.25B,2.09B,2.21B,3.28B,2.56B,2.15B
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508M,587M,467M,637M,692M,710M,760M,816M,810M,1.42B,1.68B,1.71B,1.33B,1.31B,1.22B,2.47B,2.21B,29.3B
Uruguay,136M,16.2M,26.2M,60.6M,18.6M,21.3M,30.4M,35.7M,150M,120M,78.4M,52M,114M,85.8M,23.5M,19.3M,26.2M,48.1M,14.2M,18M,20.6M,24.7M,18.2M,16.5M,18.3M,25M,60.3M,29.4M,61.7M,54M,69.9M,61M,89.6M,169M,111M,88.7M,47.7M,50M,39.9M,36.4M,32.3M,24.9M,25.4M,24.3M,29.7M,21.5M,28.2M,38.3M,32.5M,50.1M,45M,17.7M,18.1M,37.3M,93.2M,26.4M,20.5M,47.2M,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59M,12M,41.4M,95.5M,105M,167M,192M,194M,238M,224M,267M,249M,285M,199M,180M,165M,169M,148M,209M,146M,269M,300M,331M,506M,556M,687M,1.12B,1.22B,1.52B,1.16B,1.67B
St. Vincent and the Grenadines,,,,,,,,,,,,,,600k,21.1M,28.8M,20.9M,16.7M,17.3M,18.2M,24.9M,24.3M,20.7M,14.7M,11M,15.1M,29M,26.9M,30.3M,26.1M,24.9M,24.8M,26.9M,20.5M,16.4M,61.5M,34.4M,6.51M,30.4M,22.1M,8.26M,13.6M,6.76M,8.15M,11.3M,8.93M,5.4M,66.3M,24.7M,28.5M,17.5M,17.2M,8.45M,8.58M,9.92M,15.5M,10.1M,13.1M,19.5M,92.1M,81M,126M,15.8M
Venezuela,−5.1M,−31.3M,656M,322M,−401M,18.4M,188M,164M,113M,71M,33.7M,50.4M,48.8M,42M,23.5M,14.9M,−57.3M,−30.4M,−54.7M,25.7M,44M,46.3M,52.2M,51.4M,53.3M,50.1M,46.9M,42.6M,47.8M,122M,126M,46.9M,47.1M,59.2M,36.9M,56.5M,46.6M,4.84M,59.3M,66.4M,134M,74.5M,91.3M,112M,57.9M,59.8M,67.4M,78.2M,60.7M,61.9M,56.2M,49.4M,53.3M,39.3M,43.9M,42M,49.7M,97.1M,158M,285M,353M,273M,272M
British Virgin Islands,680k,3.51M,3.13M,1.25M,1.53M,,3.06M,148M,,,,,,,10.4M,12.6M,14.3M,10.2M,4.67M,5.51M,11.4M,9.67M,10.1M,8.83M,5.4M,6.11M,3.6M,4.27M,3.56M,10.6M,8.94M,9.21M,7.94M,5.35M,17.5M,1.98M,1.74M,2.66M,1.55M,3.47M,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,1.39B,1.26B,1.31B,1.61B,1.71B,2.11B,3.37B,2.93B,2.75B,2.7B,2.43B,2.48B,2.91B,2.26B,3.06B,1.5B,811M,947M,1.24B,984M,617M,666M,644M,399M,413M,405M,404M,232M,274M,210M,266M,330M,692M,402M,1.3B,945M,1.2B,1.18B,1.45B,1.52B,1.78B,1.84B,1.53B,1.95B,1.9B,1.92B,1.92B,1.72B,1.75B,2.07B,2.76B,3.08B,3.8B,4.06B,4.25B,3.57B,3.15B,2.6B,1.74B,1.18B,1.24B,527M,19.5M
Vanuatu,1.81M,3.27M,4.61M,5.66M,6.95M,5.87M,20.8M,19.1M,24M,30.7M,28.2M,36.5M,44.6M,50.3M,83.7M,58.5M,131M,66.2M,71.8M,106M,103M,79.6M,69.5M,75.4M,72.4M,64.6M,59.6M,104M,72.4M,69.3M,78.6M,74.3M,64.9M,60.3M,59.7M,60.9M,47.4M,43.8M,52.5M,53.1M,64.8M,59.5M,52.5M,55M,55.6M,54.8M,66.2M,67.3M,107M,122M,115M,83.8M,91.7M,86.3M,98.6M,216M,145M,144M,142M,145M,169M,167M,129M
Samoa,,250k,720k,1.33M,1.61M,1.72M,3.27M,5.54M,7.18M,3.81M,6.71M,7.14M,15.7M,17.3M,27.1M,55.8M,43.8M,71M,54.8M,78.5M,58.3M,59.4M,60.5M,67.9M,51.3M,56.2M,49.4M,68.2M,51.7M,50.4M,61.8M,69M,79.4M,74.5M,59.3M,52.2M,44.3M,42.7M,53.2M,41.1M,51.6M,71M,63.1M,48.8M,43.4M,54M,60.7M,39.3M,43M,73.9M,126M,81.2M,109M,111M,93.2M,108M,99.8M,149M,137M,134M,180M,84.4M,131M
Yemen,152M,145M,176M,205M,224M,301M,347M,233M,61.3M,34.9M,119M,211M,296M,317M,822M,1B,1.85B,1.59B,1.22B,983M,1.43B,1.31B,1.61B,1.15B,1.51B,1.15B,759M,929M,544M,646M,728M,424M,363M,458M,237M,217M,329M,509M,562M,665M,487M,602M,340M,325M,329M,355M,340M,164M,338M,369M,712M,491M,753M,1.08B,1.19B,2.01B,2.62B,3.63B,8.59B,4.11B,2.71B,3.89B,3.7B
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448M,473M,574M,526M,754M,789M,842M,815M,729M,820M,877M,784M,830M,863M,895M,1.21B,1.23B,1.18B,1.49B,1.18B,1.37B,1.15B,1.64B,1.36B,1.13B,992M,1.05B,1.27B,1.04B,1.03B
Zambia,11.1M,10.6M,66M,59.7M,224M,113M,276M,575M,291M,181M,104M,159M,140M,246M,277M,356M,258M,392M,573M,776M,786M,601M,847M,590M,677M,890M,1.01B,828M,830M,649M,761M,1.32B,1.49B,1.32B,1.04B,2.63B,831M,902M,528M,918M,1.26B,916M,1.25B,1.05B,1.37B,1.38B,1.76B,1.02B,1.1B,1.33B,1B,1.07B,1.01B,1.18B,1.03B,902M,1.1B,1.16B,1.08B,1.03B,1.08B,1.09B,1.86B
Zimbabwe,,120k,,120M,48.1M,36.4M,3.27M,3.27M,14.5M,5.59M,4.84M,4.8M,5.46M,5.28M,8.33M,19M,31.5M,30.1M,35.5M,39.2M,403M,460M,580M,565M,844M,655M,523M,579M,492M,483M,538M,596M,1.18B,780M,849M,651M,504M,491M,394M,337M,256M,260M,304M,253M,231M,452M,320M,523M,669M,832M,776M,745M,1.04B,851M,778M,884M,745M,815M,858M,923M,1.04B,986M,789M
